",","7000185"
".","6202435"
"päivä","18606"
"oikea","18537"
"oppilas","18488"
"uskoa","18454"
"aikoa","18435"
"joulukuu","18373"
"osata","18341"
"luona","18340"
"ensin","18325"
"ehdotus","18319"
"usea","18258"
"rakentaa","18250"
"helmikuu","18247"
"tärkeä","18225"
"asema","18154"
"h","18125"
"numero","18112"
"konttori","18081"
"kappale","18041"
"sota","18012"
"aita","17986"
"asianomainen","17977"
"kysyä","17974"
"heinäkuu","17933"
"rupla","17881"
"hymin","17858"
"ajaa","17852"
"sisältää","17798"
"tammikuu","17729"
"§","17719"
"miime","17662"
"julistaa","17660"
"J.","17654"
"1.","17608"
"neljä","17606"
"mk","17592"
"eiwät","17534"
"hankkia","17443"
"sydän","17429"
"3.","17399"
"lauantai","17397"
"talollinen","17311"
"odottaa","17247"
"tapa","17176"
"omaisuus","17163"
"pankki","17079"
"torstai","17060"
"kertomus","17042"
"Englanti","17022"
"tyttö","16971"
"maailma","16961"
"kappeli","16945"
"eimät","16906"
"Kristus","16774"
"siten","16765"
"kukaan","16725"
"lo","16715"
"heinä","16711"
"ikä","16593"
"hos","16566"
"de","16560"
"ensimmäinen","16540"
"jola","16537"
"0","16536"
"maksu","16481"
"samoin","16435"
"toimitus","16393"
"musta","16372"
"päin","16312"
"neiti","16286"
"yksityinen","16279"
"sinne","16264"
"ajatella","16250"
"tohtori","16203"
"O","16196"
"henkilö","16194"
"ranta","16175"
"äiti","16146"
"esitys","16132"
"meri","16082"
"laitos","16010"
"parempi","16001"
"tarve","15933"
"luku","15883"
"astua","15876"
"ostaja","15869"
"&","15856"
"kartano","15849"
"som","15837"
"il","15836"
"mastaan","15791"
"tarjota","15780"
"summa","15702"
"melkein","15690"
"estää","15682"
"ti","15667"
"31","15662"
"myödä","15616"
"tynnyri","15611"
"varten","15518"
"kirjapaino","15515"
"Johan","15477"
"huono","15476"
"suu","15466"
"oikein","15462"
"katu","15453"
"etu","15453"
"kirjakauppa","15432"
"koettaa","15429"
"jalka","15426"
"ilo","15408"
"med","15408"
"P","15323"
"ruis","15288"
"kukin","15286"
"aine","15270"
"yhdistys","15254"
"75","15248"
"todistus","15234"
"muuten","15217"
"auttaa","15171"
"muoden","15169"
"todistaa","15148"
"an","15138"
"c","15115"
"nimittää","15114"
"yhteensä","15099"
"ulos","15032"
"2.","14998"
"pysyä","14948"
"mä","14924"
"jälleen","14909"
"tilata","14789"
"kl","14776"
"Maria","14728"
"laulu","14717"
"työmies","14712"
"vanha","14708"
"viime","14653"
"päälle","14636"
"teos","14614"
